,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Bazargate,18.9387711,72.8353355,Food for Thought,18.932030548104755,72.83166719005116,Café
1,Bazargate,18.9387711,72.8353355,Wankhede Stadium,18.938792382629718,72.82594448102758,Cricket Ground
2,Bazargate,18.9387711,72.8353355,Royal China,18.938715239156295,72.83293313173236,Chinese Restaurant
3,Bazargate,18.9387711,72.8353355,Starbucks,18.93218954141338,72.83395939223185,Coffee Shop
4,Bazargate,18.9387711,72.8353355,Britannia & Co.,18.934683361330222,72.8401828706296,Parsi Restaurant
5,Bazargate,18.9387711,72.8353355,Marine Drive,18.941220560803895,72.82326137405234,Scenic Lookout
6,Bazargate,18.9387711,72.8353355,Trishna,18.928618767483165,72.83235598103688,Seafood Restaurant
7,Bazargate,18.9387711,72.8353355,Natural's Ice Cream Parlour,18.93489186136897,72.82422244548796,Ice Cream Shop
8,Bazargate,18.9387711,72.8353355,Jehangir Art Gallery,18.927606328364668,72.8314638434005,Art Gallery
9,Bazargate,18.9387711,72.8353355,Taj Mahal Palace & Tower,18.92230601080199,72.83357809321173,Hotel
10,Bazargate,18.9387711,72.8353355,Nariman Point,18.92918335830556,72.82223224639893,Scenic Lookout
11,Bazargate,18.9387711,72.8353355,Café Mondegar,18.924219037574055,72.83210608191361,Café
12,Bazargate,18.9387711,72.8353355,K Rustoms. Ice Cream,18.933478146064274,72.824995132785,Ice Cream Shop
13,Bazargate,18.9387711,72.8353355,Queen's Necklace,18.933982645438288,72.82389609019086,Beach
14,Bazargate,18.9387711,72.8353355,Shree Thaker Bhojnalay,18.951216985262224,72.82832591412115,Indian Restaurant
15,Bazargate,18.9387711,72.8353355,Yazdani Bakery,18.93319143074909,72.83359064269625,Bakery
16,Bazargate,18.9387711,72.8353355,Sabyasachi,18.926989753183356,72.83318533588488,Boutique
17,Bazargate,18.9387711,72.8353355,Sachin Tendulkar Stand,18.939600603290792,72.82563289592339,Cricket Ground
18,Bazargate,18.9387711,72.8353355,The Sassy Spoon,18.928425922468104,72.82251196171583,Diner
19,Bazargate,18.9387711,72.8353355,La Folie Patisserie,18.928504031969176,72.83231471266487,Dessert Shop
20,Bazargate,18.9387711,72.8353355,The Bayview - Hotel Marine Plaza,18.931876096865885,72.82303056777508,Italian Restaurant
21,Bazargate,18.9387711,72.8353355,Qi,18.932341935886978,72.82759090574511,Gym / Fitness Center
22,Bazargate,18.9387711,72.8353355,Filter,18.928311600712163,72.83264346458098,Gift Shop
23,Bazargate,18.9387711,72.8353355,National Centre for the Performing Arts (NCPA),18.92563130239702,72.81986117362976,Performing Arts Venue
24,Bazargate,18.9387711,72.8353355,HQ's,18.92516732081239,72.8320513245287,Nightclub
25,Bazargate,18.9387711,72.8353355,Woodside Inn,18.92475092153973,72.8319296651825,Pub
26,Bazargate,18.9387711,72.8353355,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (Prince of Wales Museum of Western India),18.92686438179064,72.83255875110626,History Museum
27,Bazargate,18.9387711,72.8353355,Tata Theatre,18.925062966444333,72.8199577331543,Theater
28,Bazargate,18.9387711,72.8353355,"Sea Lounge, Taj Mahal Palace Hotel",18.92150340821261,72.83329756421982,Lounge
29,Bazargate,18.9387711,72.8353355,Trident,18.92787752948028,72.82071104273936,Hotel
30,Bazargate,18.9387711,72.8353355,Theobroma,18.91929830684632,72.82918453216553,Dessert Shop
31,Bazargate,18.9387711,72.8353355,PizzaExpress Colaba,18.923899084049445,72.83345215349688,Pizza Place
32,Bazargate,18.9387711,72.8353355,The J,18.9303738249949,72.82673394356861,Fast Food Restaurant
33,Bazargate,18.9387711,72.8353355,Pizza By The Bay,18.933515653026742,72.823924806057,Pizza Place
34,Bazargate,18.9387711,72.8353355,Bhagat Tarachand Restaurant,18.951801999721898,72.83048598110027,Indian Restaurant
35,Bazargate,18.9387711,72.8353355,The Cricket Club Of India (CCI),18.9319640579446,72.82463550567627,Cricket Ground
36,Bazargate,18.9387711,72.8353355,The Oberoi,18.92710051682048,72.82016472076614,Hotel
37,Bazargate,18.9387711,72.8353355,Havana Cafe & Bar,18.924034560866843,72.83274721513723,Bar
38,Bazargate,18.9387711,72.8353355,"The Oriental Blossom, Marine Plaza",18.93160511562937,72.82312062346041,Asian Restaurant
39,Bazargate,18.9387711,72.8353355,The Table,18.924099,72.833097,New American Restaurant
40,Bazargate,18.9387711,72.8353355,Kyani & Co.,18.94406151119363,72.82857562826509,Café
41,Bazargate,18.9387711,72.8353355,Wasabi by Morimoto,18.922011858054795,72.83366279313577,Japanese Restaurant
42,Bazargate,18.9387711,72.8353355,New Martin,18.91862420333764,72.82951216623856,Indian Restaurant
43,Bazargate,18.9387711,72.8353355,The Harbour Bar,18.922030378208643,72.83361735728658,Cocktail Bar
44,Bazargate,18.9387711,72.8353355,Taj Ice Cream,18.960013490448077,72.83077934706037,Ice Cream Shop
45,Bazargate,18.9387711,72.8353355,Narayan Dosa,18.95744533870669,72.81325090399687,Fast Food Restaurant
46,Bazargate,18.9387711,72.8353355,Parsi Dairy Farm,18.946755804146605,72.83118326738536,Cheese Shop
